System_Name,source_id_1,ra_1,dec_1,pmra_1,pmra_error_1,pmdec_1,pmdec_error_1,parallax_1,parallax_error_1,phot_g_mean_mag_1,phot_g_mean_flux_1,phot_g_mean_flux_error_1,phot_bp_mean_mag_1,phot_bp_mean_flux_1,phot_bp_mean_flux_error_1,phot_rp_mean_mag_1,phot_rp_mean_flux_1,phot_rp_mean_flux_error_1,u_sdss_1,g_sdss_1,r_sdss_1,i_sdss_1,z_sdss_1,e_u_sdss_1,e_g_sdss_1,e_r_sdss_1,e_i_sdss_1,e_z_sdss_1,u_smap_1,v_smap_1,g_smap_1,r_smap_1,i_smap_1,z_smap_1,e_u_smap_1,e_v_smap_1,e_g_smap_1,e_r_smap_1,e_i_smap_1,e_z_smap_1,g_pstarr_1,r_pstarr_1,i_pstarr_1,z_pstarr_1,y_pstarr_1,e_g_pstarr_1,e_r_pstarr_1,e_i_pstarr_1,e_z_pstarr_1,e_y_pstarr_1,j_tmass_1,h_tmass_1,ks_tmass_1,e_j_tmass_1,e_h_tmass_1,e_ks_tmass_1,LoggH_1,e_LoggH_upper_1,e_LoggH_lower_1,TeffH_1,e_TeffH_upper_1,e_TeffH_lower_1,MassH_1,e_MassH_upper_1,e_MassH_lower_1,cool_ageH_1,e_cool_ageH_upper_1,e_cool_ageH_lower_1,init_mass_1,e_init_mass_upper_1,e_init_mass_lower_1,tot_age_1,e_tot_age_upper_1,e_tot_age_lower_1,sp_type_1,sp_type_source_1,source_id_2,ra_2,dec_2,pmra_2,pmra_error_2,pmdec_2,pmdec_error_2,parallax_2,parallax_error_2,phot_g_mean_mag_2,phot_g_mean_flux_2,phot_g_mean_flux_error_2,phot_bp_mean_mag_2,phot_bp_mean_flux_2,phot_bp_mean_flux_error_2,phot_rp_mean_mag_2,phot_rp_mean_flux_2,phot_rp_mean_flux_error_2,u_sdss_2,g_sdss_2,r_sdss_2,i_sdss_2,z_sdss_2,e_u_sdss_2,e_g_sdss_2,e_r_sdss_2,e_i_sdss_2,e_z_sdss_2,u_smap_2,v_smap_2,g_smap_2,r_smap_2,i_smap_2,z_smap_2,e_u_smap_2,e_v_smap_2,e_g_smap_2,e_r_smap_2,e_i_smap_2,e_z_smap_2,g_pstarr_2,r_pstarr_2,i_pstarr_2,z_pstarr_2,y_pstarr_2,e_g_pstarr_2,e_r_pstarr_2,e_i_pstarr_2,e_z_pstarr_2,e_y_pstarr_2,j_tmass_2,h_tmass_2,ks_tmass_2,e_j_tmass_2,e_h_tmass_2,e_ks_tmass_2,LoggH_2,e_LoggH_upper_2,e_LoggH_lower_2,TeffH_2,e_TeffH_upper_2,e_TeffH_lower_2,MassH_2,e_MassH_upper_2,e_MassH_lower_2,cool_ageH_2,e_cool_ageH_upper_2,e_cool_ageH_lower_2,init_mass_2,e_init_mass_upper_2,e_init_mass_lower_2,tot_age_2,e_tot_age_upper_2,e_tot_age_lower_2,sp_type_2,sp_type_source_2,sep_AU,wtd_par,e_wtd_par,R_chance_align
WDWD Gaia EDR3 1003080575370617728,1003080575370626944,105.9874227,61.0818658,79.320,0.437,-104.096,0.448,9.945,0.537,20.2564,148.73,0.70,20.7179,70.51,5.31,19.6490,109.53,6.54,,,,,,,,,,,,,,,,,,,,,,,20.89830,20.25470,19.91640,19.81850,19.79300,0.02741,0.03020,0.00924,0.01996,0.05881,,,,,,,8.108,0.096,0.091,4843,132,134,0.647,0.061,0.060,8.0041,0.6026,0.3149,2.321,0.673,1.291,8.9655,9.3585,0.5927,,,1003080575370617728,105.9839331,61.0824468,78.658,0.469,-104.729,0.437,9.497,0.635,20.1798,159.60,0.76,20.7483,68.56,4.71,19.6087,113.68,6.13,,,,,,,,,,,,,,,,,,,,,,,20.78620,20.11500,19.82860,19.73440,19.68000,0.01608,0.01734,0.01028,0.02290,0.04321,,,,,,,8.034,0.096,0.094,4826,126,129,0.599,0.059,0.060,7.2616,0.7462,0.4692,1.180,1.337,0.561,13.6651,51.4788,5.6627,,,658.3725699,9.759,0.410,7.9315990943487e-06
WDWD Gaia EDR3 100536353946761728,100536353946761728,32.0225512,22.0284594,36.249,0.823,-35.387,0.853,4.585,0.615,20.2409,150.87,0.96,20.5428,82.85,8.93,19.8502,91.01,9.69,21.4627,20.5040,20.2291,20.0998,20.1278,0.1354,0.0253,0.0280,0.0320,0.1097,,,,,,,,,,,,,20.50000,20.31230,20.16170,20.15690,20.04440,0.01709,0.04020,0.02397,0.03369,0.07907,,,,,,,7.811,0.130,0.130,6303,252,275,0.483,0.067,0.073,1.5763,0.0987,0.1324,0.130,0.579,0.636,2372.2925,nan,2333.6667,,,100536353946762112,32.0239050,22.0303535,39.143,1.241,-38.561,1.139,5.555,0.938,20.5439,114.13,1.15,20.8366,63.21,8.81,20.1449,69.38,9.78,21.8139,21.0318,20.5690,20.3322,20.2502,0.1794,0.0374,0.0364,0.0383,0.1209,,,,,,,,,,,,,21.00240,20.54980,20.28550,20.26270,20.25450,0.02412,0.01639,0.05491,0.06239,0.03432,,,,,,,7.796,0.153,0.142,5851,242,255,0.472,0.077,0.080,1.8578,0.1471,0.1940,0.038,0.668,0.693,nan,nan,nan,,,1677.4551666,4.876,0.514,0.00019496156192051365
WDWD Gaia EDR3 1006533763440848256,1006533767732900736,90.7325641,63.0691670,-12.763,0.322,-24.957,0.378,4.843,0.475,20.1975,157.01,0.57,20.2642,107.09,5.85,19.7767,97.38,6.45,20.9895,20.4929,20.2208,20.2191,20.4673,0.0720,0.0211,0.0234,0.0318,0.1317,,,,,,,,,,,,,20.38740,20.20560,20.17590,20.23880,20.14870,0.01041,0.00922,0.02836,0.03277,0.19988,,,,,,,8.202,0.085,0.090,7335,251,287,0.719,0.055,0.060,1.9364,0.1273,0.2182,3.064,0.299,0.541,2.3678,0.3487,0.2413,,,1006533763440848256,90.7335756,63.0684603,-12.897,0.224,-25.342,0.258,4.905,0.347,19.7568,235.62,0.63,19.8811,152.39,4.78,19.4660,129.65,4.52,20.4828,19.9262,19.7819,19.8259,19.8003,0.0496,0.0152,0.0178,0.0238,0.0751,,,,,,,,,,,,,19.94130,19.75510,19.75060,19.81150,19.65560,0.05749,0.02285,0.01777,0.01409,0.02154,,,,,,,7.908,0.093,0.087,7435,261,266,0.540,0.051,0.051,1.1852,0.0406,0.0481,0.622,0.446,0.447,58.1477,1404.0893,47.9153,,,620.8383131,4.883,0.280,9.181447484645176e-07
WDWD Gaia EDR3 1008929569208837376,1008929564913828224,134.8223767,42.8420961,6.107,0.257,-8.018,0.216,4.912,0.297,18.9298,504.67,1.02,19.0265,334.84,8.26,18.8205,234.93,10.13,19.4021,18.9491,19.0318,19.1053,19.3499,0.0281,0.0093,0.0118,0.0150,0.0703,,,,,,,,,,,,,18.96490,18.99000,19.14990,19.28370,19.38280,0.01007,0.01034,0.00946,0.01543,0.02093,,,,,,,8.137,0.063,0.065,9765,284,315,0.683,0.040,0.042,0.8133,0.0167,0.0181,2.808,0.283,0.582,1.3673,0.5231,0.1340,DA,2014MNRAS.440.3184B,1008929569208837376,134.8218557,42.8409435,7.074,0.200,-7.188,0.159,5.235,0.225,18.4480,786.62,1.39,18.5064,540.59,9.69,18.4326,335.84,9.35,18.8536,18.3689,18.5486,18.7295,19.0461,0.0203,0.0069,0.0090,0.0118,0.0545,,,,,,,,,,,,,18.42390,18.53310,18.71920,18.87880,19.09390,0.00334,0.00999,0.00579,0.02365,0.02173,,,,,,,8.109,0.055,0.054,11347,372,406,0.669,0.034,0.035,0.5288,0.0131,0.0111,2.659,0.295,0.555,1.1826,0.6018,0.1748,DA,2014MNRAS.440.3184B,854.1830936,5.118,0.180,6.642287174412683e-06
WDWD Gaia EDR3 1013776353903292928,1013776353903292928,132.4698015,47.2134023,-83.780,0.065,-83.173,0.052,6.571,0.068,16.8659,3377.51,2.24,16.7959,2612.55,7.67,16.9931,1264.44,6.57,16.5913,16.6890,17.0505,17.3035,17.5802,0.0061,0.0038,0.0046,0.0057,0.0143,,,,,,,,,,,,,16.75580,17.03340,17.31990,17.56180,17.72150,0.00280,0.00512,0.00332,0.00383,0.01450,,,,,,,8.070,0.038,0.038,19872,518,509,0.664,0.019,0.019,0.0821,0.0029,0.0033,2.594,0.213,0.302,0.7827,0.2909,0.1462,DB,2014MNRAS.440.3184B,1013776353903293056,132.4681604,47.2129261,-83.479,0.103,-84.143,0.083,6.449,0.107,17.7164,1543.09,2.41,17.7378,1097.18,8.62,17.7003,659.20,7.17,18.0910,17.6777,17.7720,17.9910,18.2303,0.0132,0.0054,0.0060,0.0080,0.0223,,,,,,,,,,,,,17.69320,17.83440,18.01480,18.19730,18.32820,0.01028,0.00583,0.00588,0.00679,0.02272,,,,,,,7.962,0.038,0.038,11316,178,194,0.581,0.016,0.017,0.4362,0.0056,0.0053,0.986,0.152,0.146,12.4604,9.0277,4.7986,DA,2014MNRAS.440.3184B,667.6210728,6.536,0.057,2.4461923041512294e-08
WDWD Gaia EDR3 1023714839506527360,1023714839506527360,137.5800082,54.8341930,-41.944,0.418,-78.285,0.352,6.053,0.408,19.9455,198.03,0.72,20.1964,113.99,6.02,19.5393,121.18,5.26,21.0676,20.2927,19.9294,19.8242,19.7561,0.0796,0.0203,0.0209,0.0247,0.0808,,,,,,,,,,,,,20.29430,19.95060,19.85310,19.81280,19.72360,0.01370,0.02369,0.01567,0.03500,0.02718,,,,,,,8.000,0.062,0.060,6111,120,121,0.588,0.037,0.037,2.2348,0.1057,0.1179,1.048,0.866,0.324,11.9348,25.0428,8.2573,,,1023714800850475008,137.5705260,54.8150769,-42.444,0.400,-77.570,0.346,6.771,0.414,19.9655,194.43,0.70,20.1295,121.24,7.06,19.7366,101.05,6.65,21.1742,20.3426,19.9456,19.8046,19.7213,0.0862,0.0209,0.0211,0.0242,0.0782,,,,,,,,,,,,,20.33810,19.95610,19.83840,19.81980,19.75080,0.02190,0.01382,0.01350,0.05012,0.03983,,,,,,,7.990,0.063,0.060,6053,121,116,0.582,0.037,0.037,2.2558,0.1087,0.1314,0.991,0.632,0.321,14.0396,32.9332,9.5434,,,11171.6399926,6.407,0.290,0.03224416278845554
WDWD Gaia EDR3 1025186016128402176,1025186016128402176,145.1316516,56.5319370,-16.532,0.374,-68.103,0.363,5.532,0.359,19.8583,214.60,0.69,20.0601,129.24,5.76,19.4860,127.28,6.81,20.4502,20.1055,19.9980,20.0262,20.0824,0.0501,0.0186,0.0212,0.0298,0.1021,,,,,,,,,,,,,19.90330,19.83180,19.89960,19.97630,19.76250,0.02137,0.01793,0.04465,0.03352,0.17495,,,,,,,8.361,0.085,0.084,7805,289,321,0.824,0.056,0.056,2.3803,0.2322,0.1850,3.587,0.321,0.253,2.6539,0.2408,0.1935,,,1025186016129824640,145.1326585,56.5320317,-15.725,0.552,-68.624,0.602,5.678,0.532,20.1713,160.85,0.64,20.2724,106.28,14.69,19.3370,146.00,16.20,21.2984,20.4807,20.1374,19.9982,20.0659,0.1011,0.0249,0.0241,0.0302,0.1063,,,,,,,,,,,,,,20.17090,20.08700,20.10950,20.10500,,0.03261,0.00793,0.00900,0.17664,,,,,,,7.997,0.080,0.078,6239,159,168,0.587,0.047,0.048,2.1060,0.1233,0.1282,1.033,1.063,0.421,12.2833,49.7112,8.9110,,,363.5486867,5.578,0.298,6.061845870661132e-10
WDWD Gaia EDR3 102552411595524352,102552411595524352,34.6763585,24.0620685,8.699,0.341,-9.551,0.295,4.429,0.287,19.2086,390.41,1.40,19.2989,260.53,15.06,19.2169,163.09,12.88,,,,,,,,,,,,,,,,,,,,,,,19.19970,19.25490,19.43940,19.57130,19.61400,0.00666,0.01627,0.00886,0.01077,0.04940,,,,,,,8.198,0.142,0.136,10483,751,919,0.723,0.091,0.090,0.7335,0.0269,0.0273,3.096,0.451,1.009,1.1526,0.8647,0.1388,,,102552411595527040,34.6781239,24.0658637,8.011,0.566,-8.477,0.538,4.345,0.567,19.9807,191.73,1.04,20.1770,116.04,7.42,19.8013,95.20,8.97,,,,,,,,,,,,,,,,,,,,,,,20.05490,20.03330,20.06390,20.14710,20.05080,0.01616,0.01949,0.02190,0.03698,0.08309,,,,,,,8.176,0.150,0.150,8246,545,619,0.704,0.095,0.099,1.3451,0.0815,0.0969,2.963,0.522,1.704,1.8203,4.6710,0.2026,,,3364.8544066,4.411,0.256,0.02526671588732816
WDWD Gaia EDR3 1028216029656530432,1028216029656530432,126.7689251,51.6130935,-2.464,0.689,-31.307,0.536,8.083,0.624,20.3288,139.13,0.75,20.6701,73.69,5.88,19.6952,104.98,6.70,22.3417,20.2874,19.5934,19.3939,19.2086,0.4416,0.0366,0.0279,0.0334,0.1203,,,,,,,,,,,,,20.74020,20.19440,20.04450,19.91150,19.70800,0.01316,0.02815,0.01716,0.05270,0.04797,,,,,,,7.903,0.118,0.114,5269,163,171,0.526,0.066,0.069,3.1512,0.2181,0.4344,0.501,0.572,0.601,98.2034,nan,86.1614,,,1028216033951309440,126.7694566,51.6126039,-2.780,1.352,-32.080,0.875,6.017,0.931,20.5519,113.29,0.85,21.0802,50.51,16.93,19.8221,93.39,12.73,,,,,,,,,,,,,,,,,,,,,,,21.05220,20.57970,20.28330,20.09580,19.75620,0.06653,0.03364,0.03156,0.07740,0.06576,,,,,,,7.772,0.221,0.204,4733,255,260,0.449,0.106,0.117,4.5058,0.9119,1.1686,-0.166,0.922,1.013,nan,nan,nan,,,285.6410953,7.442,0.519,1.756515494903818e-10
WDWD Gaia EDR3 1029820217121659904,1029820217121659904,134.7899423,54.1695698,-16.086,0.333,-10.098,0.296,5.711,0.390,19.6259,265.81,0.78,19.7847,166.55,6.40,19.5033,125.27,6.23,20.0436,19.6986,19.6503,19.7300,19.8381,0.0399,0.0138,0.0173,0.0235,0.0929,,,,,,,,,,,,,19.66480,19.83570,19.78950,19.88400,19.91150,0.01153,0.06552,0.00873,0.04863,0.04099,,,,,,,8.509,0.076,0.081,8897,352,403,0.923,0.050,0.052,2.2183,0.1207,0.0887,4.550,0.733,0.729,2.3638,0.1473,0.0994,,,1017810595208747776,134.7899110,54.1647264,-16.752,0.373,-9.472,0.354,5.643,0.463,19.9169,203.32,0.70,20.1006,124.50,5.89,19.6509,109.34,6.01,20.4046,20.0777,19.9328,19.9271,20.3021,0.0517,0.0175,0.0212,0.0271,0.1382,,,,,,,,,,,,,20.05670,20.00420,20.00390,20.04700,19.84750,0.01970,0.04722,0.01328,0.02766,0.09928,,,,,,,8.458,0.080,0.080,7983,302,332,0.889,0.053,0.052,2.7554,0.1530,0.0985,4.010,0.811,0.367,2.9572,0.1646,0.1246,DA,2019MNRAS.482.4570G,3068.4507433,5.682,0.298,4.7683085632821354e-05
WDWD Gaia EDR3 1042071701528617728,1042071701528617728,131.3203418,61.2843875,7.329,0.062,-63.430,0.054,28.586,0.064,16.9851,3026.38,1.84,17.2945,1650.46,13.01,16.5005,1990.52,8.64,18.2779,17.3684,16.9605,16.8137,16.7928,0.0146,0.0048,0.0046,0.0049,0.0091,,,,,,,,,,,,,17.34030,16.97430,16.83960,16.81190,16.81530,0.00331,0.00348,0.00212,0.00369,0.00689,16.212,15.689,15.504,0.104,0.150,0.000,8.112,0.038,0.038,5908,71,71,0.656,0.009,0.008,3.1918,0.0723,0.0720,2.485,0.126,0.141,3.9819,0.1607,0.1255,,,1042071701528617856,131.3148188,61.2846312,4.738,0.068,-69.402,0.060,28.573,0.072,17.1736,2543.93,1.61,17.5336,1324.25,9.29,16.6353,1758.07,9.04,18.8480,17.6680,17.1515,16.9581,16.8986,0.0202,0.0052,0.0049,0.0052,0.0097,,,,,,,,,,,,,17.59970,17.15920,16.97910,16.94060,16.91250,0.00470,0.00380,0.00248,0.00341,0.01058,16.073,15.933,15.814,0.099,0.221,0.232,8.031,0.038,0.038,5515,66,66,0.604,0.008,0.008,3.3812,0.0756,0.0803,1.239,0.145,0.122,8.8155,2.2853,1.6726,DA,2020MNRAS.497..130T,335.6546994,28.581,0.048,3.0965206322497215e-07
WDWD Gaia EDR3 1043114618370678784,1043114618370678784,135.1313520,62.8966813,-189.133,0.144,-27.692,0.186,8.462,0.177,18.9640,489.05,0.68,19.2100,282.76,6.79,18.6205,282.46,4.98,19.8146,19.1972,18.9445,18.8784,18.8178,0.0385,0.0104,0.0113,0.0141,0.0445,,,,,,,,,,,,,19.19460,18.98110,18.90580,18.94790,18.88260,0.00764,0.00985,0.00668,0.01543,0.03336,,,,,,,7.944,0.038,0.038,6726,81,81,0.558,0.018,0.020,1.5997,0.0350,0.0388,0.781,0.156,0.173,28.4949,33.9957,12.5571,,,1043114549651200896,135.1343706,62.8928627,-188.822,0.158,-28.010,0.191,8.128,0.188,19.0768,440.80,0.67,19.3799,241.80,4.61,18.6867,265.74,5.53,20.1230,19.3313,19.0814,18.9949,19.0301,0.0477,0.0111,0.0123,0.0152,0.0532,,,,,,,,,,,,,19.33020,19.10570,18.99670,18.99210,19.03560,0.00878,0.00641,0.00626,0.02023,0.02411,,,,,,,7.924,0.038,0.038,6442,77,77,0.545,0.018,0.018,1.7343,0.0395,0.0410,0.674,0.160,0.153,45.7005,42.9779,22.3708,,,1759.3895019,8.305,0.129,3.198517264750258e-07
WDWD Gaia EDR3 1045820413407933312,1045632779172316288,153.4818520,57.4304630,-115.714,0.853,-18.910,0.957,7.433,0.919,20.5676,111.67,0.81,20.8588,61.93,7.76,19.9793,80.81,7.55,22.7542,21.1316,20.5583,20.2527,20.1132,0.2986,0.0408,0.0383,0.0420,0.1349,,,,,,,,,,,,,21.04620,20.57350,20.26490,20.21990,19.92430,0.02839,0.02134,0.02193,0.02558,0.20139,,,,,,,7.864,0.077,0.068,5141,94,96,0.502,0.042,0.040,3.3392,0.1515,0.2344,0.299,0.369,0.345,369.0944,nan,320.5220,,,1045820413407933312,153.4663932,57.4308713,-117.291,0.194,-18.335,0.197,6.301,0.213,19.0244,462.60,0.96,19.2904,262.58,6.57,18.6431,276.65,4.91,19.9767,19.2981,19.0185,18.8929,18.8645,0.0355,0.0114,0.0121,0.0144,0.0458,,,,,,,,,,,,,19.29690,19.03170,18.92910,18.97020,18.95360,0.01007,0.00471,0.00552,0.01475,0.02522,,,,,,,7.410,0.051,0.052,6403,97,104,0.307,0.018,0.019,0.9925,0.0199,0.0185,-1.401,0.159,0.167,nan,nan,nan,,,4717.1347390,6.359,0.208,0.0017565137360453877
WDWD Gaia EDR3 1049741649829703552,1049741649829703552,147.2420757,59.3832782,-42.967,0.462,-20.838,0.431,5.200,0.525,20.3351,138.33,0.64,20.5187,84.71,5.78,19.8462,91.34,6.46,21.3225,20.6315,20.3787,20.3758,20.3770,0.0956,0.0278,0.0289,0.0405,0.1611,,,,,,,,,,,,,20.56930,20.34240,20.26170,20.29360,19.91600,0.03481,0.02332,0.01446,0.05147,0.18196,,,,,,,8.256,0.103,0.104,6534,241,273,0.752,0.068,0.069,3.2885,0.4591,0.3374,3.248,0.323,0.440,3.6526,0.4969,0.3483,,,1049741654124591232,147.2423495,59.3868000,-41.457,1.042,-20.423,1.269,7.547,1.201,20.7357,95.65,0.74,20.6915,72.25,8.98,20.1421,69.56,5.74,22.5193,21.1757,20.7438,20.6608,20.1552,0.2525,0.0420,0.0389,0.0517,0.1345,,,,,,,,,,,,,21.18570,20.71690,20.55030,20.49740,20.11650,0.03212,0.03054,0.01853,0.03554,0.15154,,,,,,,7.982,0.124,0.121,5442,183,188,0.573,0.073,0.076,3.1852,0.3283,0.6294,0.915,1.403,0.657,18.8059,662.5172,14.6691,,,2275.4712319,5.576,0.481,3.5204764818374204e-05
WDWD Gaia EDR3 1051864188307366272,1051864188307366272,155.5839698,62.4377808,13.694,0.231,-54.891,0.263,6.933,0.287,19.7214,243.44,0.65,20.0482,130.65,6.91,19.2372,160.05,6.34,20.9413,20.0848,19.7435,19.5790,19.5127,0.0877,0.0191,0.0186,0.0239,0.0714,,,,,,,,,,,,,20.02920,19.69110,19.58440,19.58880,19.46130,0.02230,0.00763,0.00998,0.03250,0.06152,,,,,,,7.865,0.056,0.056,5970,99,104,0.510,0.031,0.032,1.9361,0.0680,0.0782,0.366,0.271,0.277,121.1455,nan,66.5043,,,1051864158243487360,155.5608155,62.4283814,13.799,0.330,-55.243,0.346,6.581,0.408,20.0965,172.32,0.65,20.5048,85.80,5.30,19.7328,101.40,5.25,22.3672,20.6116,20.0818,19.8628,19.8070,0.2745,0.0275,0.0238,0.0299,0.0927,,,,,,,,,,,,,20.46670,20.03320,19.87930,19.82940,19.62420,0.03004,0.01950,0.01400,0.03898,0.05602,,,,,,,7.775,0.069,0.064,5337,90,91,0.457,0.036,0.035,2.3608,0.0721,0.0927,-0.098,0.312,0.300,nan,nan,nan,,,7528.1847778,6.816,0.235,0.00021532524444184525
WDWD Gaia EDR3 1052299045157345152,1052299045157345152,158.0973945,62.8618661,-48.225,0.585,-6.548,0.705,4.477,0.631,20.5535,113.12,0.67,20.9282,58.09,7.64,20.2460,63.20,9.50,21.7812,20.9597,20.6674,20.5675,20.4895,0.1314,0.0312,0.0315,0.0433,0.1407,,,,,,,,,,,,,20.75930,20.56470,20.38350,20.46650,,0.03288,0.02744,0.03053,0.05583,,,,,,,,8.256,0.119,0.111,6202,242,257,0.752,0.079,0.074,3.8599,0.5473,0.3532,3.244,0.370,0.486,4.2252,0.5894,0.3664,,,1052299113875750912,158.0954527,62.8630790,-47.457,1.171,-7.184,1.458,7.484,0.922,20.7763,92.13,0.67,21.2268,44.12,7.63,20.0279,77.27,8.15,22.8898,21.4091,20.7435,20.5664,20.6785,0.3344,0.0439,0.0335,0.0441,0.1702,,,,,,,,,,,,,21.16930,20.71970,20.49140,20.47590,19.62090,0.03926,0.03117,0.01517,0.03695,0.17242,,,,,,,7.781,0.154,0.139,5153,181,184,0.458,0.078,0.079,2.8311,0.2092,0.2811,-0.090,0.675,0.682,nan,nan,nan,,,994.5140836,5.436,0.521,7.315331939549928e-09
WDWD Gaia EDR3 1054092417340727424,1054092417340727424,164.9040023,62.1619946,-18.443,0.620,-106.238,0.613,6.448,0.555,20.5478,113.72,0.60,20.8180,64.30,6.50,19.9731,81.27,6.76,22.7965,21.2620,20.5753,20.4137,20.3059,0.3871,0.0423,0.0343,0.0477,0.1650,,,,,,,,,,,,,21.10610,20.49340,20.23630,20.20860,,0.03817,0.02258,0.02420,0.02792,,,,,,,,7.900,0.128,0.118,5097,162,161,0.522,0.071,0.071,3.9486,0.4772,0.6168,0.468,0.620,0.620,115.9864,nan,103.5451,,,1054092417341483008,164.9046309,62.1610551,-15.066,0.887,-108.272,1.077,6.874,0.959,20.6931,99.47,0.72,21.0612,51.40,7.90,20.1140,71.38,7.86,23.5593,21.5002,20.8152,20.6333,20.8608,0.7278,0.0516,0.0420,0.0579,0.2694,,,,,,,,,,,,,21.26370,20.64370,20.40370,20.38450,19.65690,0.05572,0.03193,0.02499,0.04022,0.05503,,,,,,,7.885,0.131,0.127,4891,153,163,0.511,0.072,0.076,5.0502,0.8081,0.7341,0.378,0.623,0.664,182.5425,nan,166.0805,,,540.5443727,6.555,0.481,2.8157473523488215e-11
WDWD Gaia EDR3 1061156057994470400,1061156057994470400,173.4290290,69.2768111,79.330,0.092,-118.132,0.102,8.650,0.086,17.7462,1501.30,1.50,17.8231,1014.30,9.68,17.6443,694.13,10.84,,,,,,,,,,,,,,,,,,,,,,,17.79720,17.81910,17.91700,18.05890,18.16680,0.00637,0.00563,0.00302,0.00972,0.01318,,,,,,,8.032,0.044,0.040,9417,181,175,0.617,0.027,0.025,0.7694,0.0092,0.0093,1.563,0.718,0.480,3.2910,6.0912,1.5160,,,1061155680037347456,173.4093545,69.2704413,78.753,0.292,-117.882,0.374,8.348,0.307,19.7613,234.65,0.76,20.1785,115.88,6.09,19.1884,167.42,8.90,,,,,,,,,,,,,,,,,,,,,,,20.23820,19.70520,19.51690,19.43290,19.41930,0.04660,0.01780,0.00968,0.01327,0.04406,,,,,,,7.841,0.062,0.061,5250,92,89,0.491,0.034,0.035,2.8483,0.0749,0.0814,0.197,0.294,0.303,1186.4447,nan,1083.1189,,,3937.2963860,8.629,0.083,2.5322094123385815e-05
WDWD Gaia EDR3 1062250660475231872,1062250660475231872,171.2065687,70.4520464,-14.329,0.205,-22.290,0.258,5.542,0.211,19.1450,413.95,0.96,19.2716,267.15,10.45,19.0167,196.10,9.33,,,,,,,,,,,,,,,,,,,,,,,19.18370,19.22200,19.27760,19.38390,19.37140,0.01160,0.01221,0.01111,0.01333,0.05089,,,,,,,8.156,0.080,0.081,8702,310,346,0.693,0.051,0.053,1.1290,0.0350,0.0368,2.870,0.333,0.668,1.6513,0.5874,0.1490,,,1062250660474551936,171.2085193,70.4518563,-13.652,0.205,-22.852,0.262,5.767,0.210,19.1619,407.57,0.94,19.3209,255.30,14.02,18.9724,204.27,11.85,,,,,,,,,,,,,,,,,,,,,,,19.23830,19.22240,19.26710,19.39820,19.41260,0.01389,0.00325,0.00651,0.01748,0.05953,,,,,,,8.112,0.086,0.081,8489,320,324,0.664,0.054,0.052,1.1246,0.0362,0.0392,2.592,0.466,1.216,1.8266,3.1297,0.2711,,,432.7691439,5.655,0.149,1.3704821382996005e-06
WDWD Gaia EDR3 1063981734158309248,1063981772814746368,141.9828319,62.1761269,-154.830,0.256,-40.374,0.269,8.713,0.316,19.7784,230.98,0.53,20.1591,117.97,5.93,19.1849,167.96,4.59,21.7080,20.3191,19.7767,19.4764,19.4813,0.1724,0.0222,0.0208,0.0225,0.0816,,,,,,,,,,,,,20.31020,19.73060,19.55360,19.46390,19.33430,0.02975,0.02107,0.01086,0.03532,0.09994,,,,,,,7.901,0.050,0.052,5253,72,70,0.524,0.029,0.031,3.1848,0.1040,0.1529,0.487,0.249,0.270,105.6773,900.1070,69.6192,,,1063981734158309248,141.9798907,62.1743705,-155.667,0.202,-39.926,0.222,9.047,0.252,19.4454,313.91,0.61,19.8023,163.87,5.71,18.9637,205.91,5.63,21.1973,19.8959,19.4005,19.2231,19.2982,0.1121,0.0167,0.0160,0.0187,0.0703,,,,,,,,,,,,,19.84090,19.40390,19.26840,19.22640,19.05250,0.01438,0.01341,0.00812,0.02186,0.06033,,,,,,,7.859,0.042,0.045,5562,67,69,0.504,0.023,0.025,2.3222,0.0673,0.0838,0.313,0.203,0.221,285.2470,nan,193.5393,,,900.0591715,8.917,0.197,1.1991317324914627e-06
WDWD Gaia EDR3 1068605116130339968,1068605146193622656,137.7199469,66.0850049,-7.049,0.416,31.837,0.597,6.013,0.581,20.3865,131.93,0.60,20.5836,79.79,7.78,19.9474,83.21,4.79,21.5965,20.6231,20.3152,20.1978,20.1848,0.1616,0.0279,0.0345,0.0430,0.1098,,,,,,,,,,,,,20.67530,20.37120,20.27530,20.21630,20.15710,0.02951,0.01202,0.01481,0.04964,0.18286,,,,,,,8.270,0.080,0.075,6362,190,191,0.761,0.053,0.050,3.6809,0.3175,0.2364,3.292,0.254,0.279,4.0314,0.3331,0.2457,,,1068605116130339968,137.6981552,66.0776805,-6.678,0.375,32.609,0.584,6.411,0.515,20.2427,150.62,0.57,20.5826,79.87,5.70,19.8378,92.05,5.53,21.4400,20.5201,20.1879,20.1656,20.3472,0.1405,0.0255,0.0306,0.0411,0.1225,,,,,,,,,,,,,20.49780,20.23810,20.16890,20.15920,19.78120,0.01829,0.02371,0.01078,0.04169,0.10047,,,,,,,8.258,0.077,0.073,6491,181,196,0.753,0.051,0.049,3.3654,0.3269,0.2457,3.252,0.254,0.291,3.7281,0.3459,0.2555,,,6625.8876451,6.235,0.385,0.019694844864387058
